parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
165,VIL240621573,15,0,2024-11-16,1500.0,,
166,VIL240621573,16,0,2024-11-17,1500.0,,
167,VIL240621573,17,0,2024-11-17,1500.0,,
168,VIL240621573,18,0,2024-11-18,1500.0,,
169,VIL240621573,19,0,2024-11-18,1500.0,,
170,VIL240621573,20,0,2024-11-20,1500.0,,
171,VIL240621573,21,0,2024-11-21,1500.0,,
172,VIL240621573,22,0,2024-11-21,1500.0,,
173,VIL240621573,23,0,2024-11-21,1500.0,,
174,VIL240621573,24,0,2024-11-22,1500.0,,
175,VIL240621573,25,0,2024-11-22,1500.0,,
176,VIL240621573,26,0,2024-11-25,1500.0,,
177,VIL240621573,27,0,2024-11-27,1500.0,,
178,VIL240621573,28,0,2024-11-27,1500.0,,
179,VIL240621573,29,0,2024-11-27,1500.0,,
180,VIL240621573,30,0,2024-11-27,1500.0,,
181,VIL240621573,31,0,2024-11-29,1500.0,,
182,VIL240621573,32,0,2024-12-02,1500.0,,
183,VIL240621573,33,0,2024-12-02,1500.0,,
184,VIL240621573,34,0,2024-12-02,1500.0,,
185,VIL240621573,35,0,2024-12-03,1500.0,,
186,VIL240621573,36,0,2024-12-05,1500.0,,
187,VIL240621573,37,0,2024-12-06,1500.0,,
188,VIL240621573,38,0,2024-12-06,1500.0,,
189,VIL240621573,39,0,2024-12-06,1500.0,,
190,VIL240621573,40,0,2024-12-06,500.0,,
191,DEV240991574,1,0,2024-11-08,1500.0,,
192,DEV240991574,2,0,2024-11-09,1500.0,,
193,DEV240991574,3,0,2024-11-09,1500.0,,
194,DEV240991574,4,0,2024-11-09,1500.0,,
195,DEV240991574,5,0,2024-11-12,1000.0,,
196,BIL248081566,1,0,2024-11-08,1600.0,,
197,BIL248081566,2,0,2024-11-08,1600.0,,
198,BIL248081566,3,0,2024-11-10,1600.0,,
199,BIL248081566,4,0,2024-11-12,1600.0,,
200,BIL248081566,5,0,2024-11-13,0.0,,
201,BIL248211497,1,0,2024-11-07,1600.0,,
202,BIL248211497,2,0,2024-11-09,1600.0,,
203,BIL248211497,3,0,2024-11-10,1600.0,,
204,BIL248211497,4,0,2024-11-11,1600.0,,
205,BIL248211497,5,0,2024-11-12,1600.0,,
206,BIL248211497,6,0,2024-11-14,1600.0,,
207,BIL248211497,7,0,2024-11-16,1600.0,,
208,BIL248211497,8,0,2024-11-17,1600.0,,
209,BIL248211497,9,0,2024-11-18,1600.0,,
210,BIL248211497,10,0,2024-11-18,1600.0,,
211,BIL248211497,11,0,2024-11-18,1600.0,,
212,BIL248211497,12,0,2024-11-18,1600.0,,
213,BIL248211497,13,0,2024-11-18,1600.0,,
214,BIL248211497,14,0,2024-11-18,1600.0,,
215,BIL248211497,15,0,2024-11-18,1600.0,,
216,BIL248211497,16,0,2024-11-18,1600.0,,
217,BIL248211497,17,0,2024-11-21,1600.0,,
